Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
76, eco3, 43338, 8431.19, 221.8, 279.4, 0.0
76, eco1, 93059, 7089.74, 174.7, 315.1, 0.0
77, eco2, 51531, 7954.24, 186.0, 260.6, 0.0
77, eco3, 43338, 8444.15, 217.8, 274.5, 0.0
77, eco1, 93059, 7103.36, 172.2, 310.5, 0.0
78, eco2, 51531, 7981.87, 184.6, 257.1, 0.0
78, eco3, 43338, 8455.48, 213.9, 269.6, 0.0
78, eco1, 93059, 7116.57, 170.2, 306.1, 0.0
79, eco2, 51531, 8006.47, 183.3, 253.9, 0.0
79, eco3, 43338, 8468.39, 209.9, 264.7, 0.0
79, eco1, 93059, 7128.03, 168.5, 301.9, 0.0
80, eco2, 51531, 7822.37, 177.8, 254.4, 0.0
80, eco3, 43338, 8299.93, 207.4, 263.2, 0.0
80, eco1, 93059, 7105.55, 167.3, 299.1, 0.0
81, eco2, 51531, 7832.85, 176.6, 249.8, 0.0
81, eco3, 43338, 8280.70, 203.8, 257.9, 0.0
81, eco1, 93059, 7125.23, 166.2, 295.5, 0.0
82, eco2, 51531, 7843.14, 175.8, 246.0, 0.0
82, eco3, 43338, 8262.99, 200.3, 252.8, 0.0
82, eco1, 93059, 7146.56, 165.4, 292.3, 0.0
83, eco2, 51531, 7852.70, 174.7, 242.7, 0.0
83, eco3, 43338, 8244.04, 196.9, 247.9, 0.0
83, eco1, 93059, 7167.87, 164.3, 289.3, 0.0
84, eco2, 51531, 7866.37, 173.7, 239.8, 0.0
84, eco3, 43338, 8227.05, 193.4, 243.2, 0.0
84, eco1, 93059, 7190.15, 163.4, 286.5, 0.0
85, eco2, 51531, 7879.58, 172.8, 237.4, 0.0
85, eco3, 43338, 8212.08, 189.9, 238.6, 0.0
85, eco1, 93059, 7213.60, 162.3, 284.0, 0.0
86, eco2, 51531, 7891.85, 171.4, 235.0, 0.0
86, eco3, 43338, 8193.66, 186.2, 233.9, 0.0
86, eco1, 93059, 7234.08, 160.7, 281.3, 0.0
87, eco2, 51531, 7902.39, 169.9, 232.7, 0.0
87, eco3, 43338, 8173.78, 182.5, 229.3, 0.0
87, eco1, 93059, 7256.76, 159.3, 278.7, 0.0
88, eco2, 51531, 7916.88, 168.7, 230.6, 0.0
88, eco3, 43338, 8155.44, 178.6, 224.7, 0.0
88, eco1, 93059, 7278.18, 158.0, 276.2, 0.0
89, eco2, 51531, 7930.87, 167.6, 228.6, 0.0
89, eco3, 43338, 8136.56, 175.1, 220.1, 0.0
89, eco1, 93059, 7299.81, 156.4, 273.6, 0.0
90, eco2, 51531, 7939.89, 166.5, 227.1, 0.0
90, eco3, 43338, 8049.96, 172.1, 218.0, 0.0
90, eco1, 93059, 7248.51, 154.1, 273.0, 0.0
91, eco2, 51531, 7957.38, 165.7, 225.4, 0.0
91, eco3, 43338, 8044.91, 171.1, 213.8, 0.0
91, eco1, 93059, 7278.29, 153.0, 269.9, 0.0
92, eco2, 51531, 7976.41, 164.9, 223.8, 0.0
92, eco3, 43338, 8040.23, 170.0, 210.2, 0.0
92, eco1, 93059, 7306.94, 151.8, 267.0, 0.0
93, eco2, 51531, 7997.38, 164.3, 222.5, 0.0
93, eco3, 43338, 8038.33, 169.1, 207.3, 0.0
93, eco1, 93059, 7334.41, 150.6, 264.1, 0.0
94, eco2, 51531, 8018.22, 163.7, 221.2, 0.0
94, eco3, 43338, 8037.27, 168.0, 204.7, 0.0
94, eco1, 93059, 7362.56, 149.3, 261.4, 0.0
95, eco2, 51531, 8043.63, 163.4, 220.2, 0.0
95, eco3, 43338, 8040.72, 167.3, 202.5, 0.0
95, eco1, 93059, 7393.82, 148.4, 258.9, 0.0
96, eco2, 51531, 8070.78, 163.1, 219.3, 0.0
96, eco3, 43338, 8042.24, 166.2, 200.5, 0.0
96, eco1, 93059, 7424.00, 147.4, 256.5, 0.0
97, eco2, 51531, 8096.63, 163.0, 218.5, 0.0
97, eco3, 43338, 8047.60, 165.3, 198.7, 0.0
97, eco1, 93059, 7453.27, 146.4, 254.2, 0.0
98, eco2, 51531, 8123.06, 162.6, 217.9, 0.0
98, eco3, 43338, 8052.71, 164.4, 197.1, 0.0
98, eco1, 93059, 7481.97, 145.5, 251.9, 0.0
99, eco2, 51531, 8148.16, 162.5, 217.3, 0.0
99, eco3, 43338, 8059.63, 163.4, 195.5, 0.0
99, eco1, 93059, 7511.15, 144.8, 249.9, 0.0
100, eco2, 51531, 8133.25, 191.8, 225.9, 0.0
100, eco3, 43338, 8011.86, 168.3, 196.6, 0.0
100, eco1, 93059, 7454.31, 171.0, 257.1, 0.0
101, eco2, 51531, 8137.85, 191.5, 232.3, 0.0
101, eco3, 43338, 8008.46, 166.8, 196.1, 0.0
101, eco1, 93059, 7440.59, 169.6, 261.7, 0.0
102, eco2, 51531, 8146.06, 191.3, 237.3, 0.0
102, eco3, 43338, 8007.68, 165.8, 195.4, 0.0
102, eco1, 93059, 7429.26, 168.8, 265.2, 0.0
103, eco2, 51531, 8154.84, 191.1, 241.3, 0.0
103, eco3, 43338, 8006.89, 165.0, 194.6, 0.0
103, eco1, 93059, 7419.35, 168.1, 267.8, 0.0
104, eco2, 51531, 8161.94, 191.1, 244.4, 0.0
104, eco3, 43338, 8007.41, 164.1, 193.7, 0.0
104, eco1, 93059, 7409.78, 167.7, 269.9, 0.0
105, eco2, 51531, 8172.55, 191.2, 247.0, 0.0
105, eco3, 43338, 8011.44, 163.5, 192.9, 0.0
105, eco1, 93059, 7401.34, 167.4, 271.5, 0.0
106, eco2, 51531, 8181.64, 191.5, 249.1, 0.0
106, eco3, 43338, 8018.05, 162.9, 192.0, 0.0
106, eco1, 93059, 7393.33, 167.2, 272.8, 0.0
107, eco2, 51531, 8191.69, 191.8, 250.9, 0.0
107, eco3, 43338, 8025.40, 162.8, 191.4, 0.0
107, eco1, 93059, 7385.84, 167.1, 273.8, 0.0
108, eco2, 51531, 8202.45, 192.2, 252.5, 0.0
108, eco3, 43338, 8035.43, 163.0, 190.9, 0.0
108, eco1, 93059, 7380.49, 167.2, 274.6, 0.0
109, eco2, 51531, 8214.60, 192.9, 254.0, 0.0
109, eco3, 43338, 8045.67, 163.4, 190.7, 0.0
109, eco1, 93059, 7376.56, 167.6, 275.5, 0.0
110, eco2, 51531, 8160.42, 193.0, 256.8, 0.0
110, eco3, 43338, 7985.24, 163.6, 192.6, 0.0
110, eco1, 93059, 7304.49, 167.3, 278.0, 0.0
111, eco2, 51531, 8175.85, 193.8, 257.7, 0.0
111, eco3, 43338, 8003.11, 164.2, 192.2, 0.0
111, eco1, 93059, 7303.63, 167.7, 278.3, 0.0
112, eco2, 51531, 8192.00, 194.7, 258.8, 0.0
112, eco3, 43338, 8021.62, 164.7, 192.0, 0.0
112, eco1, 93059, 7304.47, 168.2, 278.7, 0.0
113, eco2, 51531, 8209.71, 195.7, 260.1, 0.0
113, eco3, 43338, 8043.55, 165.6, 192.2, 0.0
113, eco1, 93059, 7307.71, 168.8, 279.2, 0.0
114, eco2, 51531, 8228.07, 196.7, 261.4, 0.0
114, eco3, 43338, 8065.18, 166.2, 192.5, 0.0
114, eco1, 93059, 7312.32, 169.4, 279.8, 0.0
115, eco2, 51531, 8247.20, 197.7, 262.9, 0.0
115, eco3, 43338, 8087.38, 167.0, 193.1, 0.0
115, eco1, 93059, 7317.66, 170.0, 280.6, 0.0
116, eco2, 51531, 8267.83, 198.6, 264.2, 0.0
116, eco3, 43338, 8110.44, 167.2, 193.4, 0.0
116, eco1, 93059, 7323.80, 170.5, 281.3, 0.0
117, eco2, 51531, 8292.11, 199.7, 265.6, 0.0
117, eco3, 43338, 8134.73, 168.1, 193.9, 0.0
117, eco1, 93059, 7331.48, 171.2, 282.1, 0.0
118, eco2, 51531, 8315.20, 200.8, 267.1, 0.0
118, eco3, 43338, 8159.66, 168.6, 194.5, 0.0
118, eco1, 93059, 7340.45, 171.8, 283.0, 0.0
119, eco2, 51531, 8338.44, 201.9, 268.7, 0.0
119, eco3, 43338, 8184.47, 169.4, 195.1, 0.0
119, eco1, 93059, 7349.57, 172.6, 284.0, 0.0
