Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
90, eco2,51531,124.8505366,24.53835555,488.5385108,15.97242437,3313.020609,0.002949681,26.60365605,18.47402534,1.452038579,58.24344569,1369.030195,0,0,0, ,6433673,1264486,25174878,823075,170723265,152,1370913,951985,74825,3001343,70547495,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,88.70029691,22.18268615,457.6575071,8.8569987,2998.83965,0.002755623,25.2246997,10.62381867,1.014884244,60.26034814,1315.092934,0,0,0, ,4570815,1143096,23583549,456410,154533206,142,1299854,547456,52298,3105276,67768054,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,25.52762415,16.50455066,344.0635928,5.668257942,2685.00652,0.002348101,23.93545633,2.719004095,0.505132833,53.03312569,1288.37981,0,0,0, ,1315464,850496,17729941,292091,138361071,121,1233418,140113,26030,2732850,66391500,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,3.881566436,13.00498729,278.651142,3.181541208,2476.087443,0.001746522,24.45716171,1.252003648,0.282509557,47.56177835,1285.853331,0,0,0, ,200021,670160,14359172,163948,127595262,90,1260302,64517,14558,2450906,66261308,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,0.770390639,7.913702432,242.5708991,2.694940909,2366.852535,0.001047913,27.36789505,0.620480876,0.18121131,45.77419417,1290.735577,0,0,0, ,39699,407801,12499921,138873,121966278,54,1410295,31974,9338,2358790,66512895,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,902.3658221,13.75501869,81.19124094,737.8023905,2412.83954,0.648414786,1839.172274,619.7474503,133.0850062,17.6429,3578.643869,0.062970142,9.23E-05,0.007153076, ,39106730,596115,3518666,31974880,104567640,28101,79706048,26858615,5767638,764608,155091268,2729,4,310,,,,,,,,,,,,,,,
20, eco3,43338,920.7651253,10.1068808,85.18166505,624.2156768,2667.97328,0.648414786,1656.755157,420.263187,52.99393142,17.71493839,3909.746481,0.004499515,9.23E-05,0.00369191, ,39904119,438012,3691603,27052259,115624626,28101,71800455,18213366,2296651,767730,169440593,195,4,160,,,,,,,,,,,,,,,
30, eco3,43338,808.300383,4.249919239,73.61966404,494.232798,2896.944667,0.661036504,1418.195233,233.0834141,13.8954728,17.89238082,4151.332226,0.000876829,2.31E-05,9.23E-05, ,35030122,184183,3190529,21419061,125547788,28648,61461745,10101369,602202,775420,179910436,38,1,4,,,,,,,,,,,,,,,
40, eco3,43338,658.6259172,2.911024967,65.07884536,351.6997785,3088.259587,0.661682588,1156.651207,138.1426693,5.526304859,18.27917763,4236.935415,0.00020767,0,0, ,28543530,126158,2820387,15241965,133838994,28676,50126950,5986827,239499,792183,183620307,9,0,0,,,,,,,,,,,,,,,
50, eco3,43338,520.556417,3.453505007,74.4374452,303.7486732,3367.519636,0.657967603,722.6953943,76.44323688,4.911901795,20.07328442,4172.556048,0,0,0, ,22559874,149668,3225970,13163860,145941566,28515,31320173,3312897,212872,869936,180830234,0,0,0,,,,,,,,,,,,,,,
60, eco3,43338,404.5326042,3.165259126,78.0698694,227.7935992,3583.706262,0.648253265,320.3507545,55.81438922,2.722091467,22.36093036,3937.349462,0,0,0, ,17531634,137176,3383392,9872119,155310662,28094,13883361,2418884,117970,969078,170636851,0,0,0,,,,,,,,,,,,,,,
70, eco3,43338,279.3257418,3.262840925,78.85151599,130.4279616,3555.856454,0.649130094,168.6705201,38.10789607,1.942383128,26.52051318,3350.326342,0,0,0.007037704, ,12105419,141405,3417267,5652487,154103707,28132,7309843,1651520,84179,1149346,145196443,0,0,305,,,,,,,,,,,,,,,
80, eco3,43338,204.5161521,2.720522405,78.10937284,68.94759795,3435.394757,0.673727445,123.5988278,27.04307998,1.206446998,33.70132447,2889.536942,0,0,0, ,8863321,117902,3385104,2988051,148883138,29198,5356526,1171993,52285,1460548,125226752,0,0,0,,,,,,,,,,,,,,,
90, eco3,43338,140.2049241,2.256241636,76.22181457,30.34821635,3195.597397,0.731990401,88.77343209,12.41750888,0.790714846,37.58906733,2428.605566,0,0,0, ,6076201,97781,3303301,1315231,138490800,31723,3847263,538150,34268,1629035,105250908,0,0,0,,,,,,,,,,,,,,,
100, eco3,43338,108.4786792,2.138285108,73.66682819,20.08318335,2951.093175,0.795191287,91.69225622,7.213184734,0.507314597,43.85456182,2027.953182,0,0,0, ,4701249,92669,3192573,870365,127894476,34462,3973759,312605,21986,1900569,87887435,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,37.38739674,1.714730721,51.47955605,14.67045087,2642.908625,0.741450921,87.58994416,2.170358577,0.276893258,41.93033827,1765.923139,0,0,0, ,1620295,74313,2231021,635788,114538374,32133,3795973,94059,12000,1817177,76531577,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,7.772324519,1.366168259,35.68918732,8.398495547,2387.955166,0.706100881,91.94383682,0.952628179,0.184018644,40.76851724,1596.045941,0,0,0, ,336837,59207,1546698,363974,103489201,30601,3984662,41285,7975,1766826,69169439,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,1.1427154,0.823618995,23.81923485,5.686741428,2235.514814,0.663643915,93.03618072,0.540634086,0.110134293,40.82553417,1460.376967,0,0,0, ,49523,35694,1032278,246452,96882741,28761,4032002,23430,4773,1769297,63289817,0,0,0,,,,,,,,,,,,,,,
