#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1999-07-18T00:00:00Z,0.2717949,30.083555,5.4848474
1999-07-19T00:00:00Z,1.0957265,33.455056,5.784035
1999-07-20T00:00:00Z,1.2042735,8.920572,2.9867327
1999-07-21T00:00:00Z,0.013675214,0.4294135,0.6552965
1999-07-22T00:00:00Z,0.07008547,3.3838786,1.8395321
1999-07-23T00:00:00Z,5.7752137,706.86045,26.586847
1999-07-24T00:00:00Z,0,0,0
1999-07-25T00:00:00Z,0.73162395,230.06291,15.167825
1999-07-26T00:00:00Z,4.4529915,99.40643,9.970277
1999-07-27T00:00:00Z,2.782906,138.07398,11.750488
1999-07-28T00:00:00Z,2.2504272,37.54524,6.127417
1999-07-29T00:00:00Z,2.4299145,39.159742,6.257774
1999-07-30T00:00:00Z,6.240171,586.79414,24.223833
1999-07-31T00:00:00Z,0.08888889,21.030651,4.5859188
1999-08-01T00:00:00Z,0,0,0
1999-08-02T00:00:00Z,0.8299145,3.0907752,1.75806
1999-08-03T00:00:00Z,1.9401709,45.3631,6.7352134
1999-08-04T00:00:00Z,1.2820513,1.5450928,1.2430176
1999-08-05T00:00:00Z,3.068376,41.78706,6.464291
1999-08-06T00:00:00Z,0.06581197,8.916593,2.9860663
1999-08-07T00:00:00Z,12.139317,130.77513,11.435695
1999-08-08T00:00:00Z,0.03931624,3.171677,1.7809203
1999-08-09T00:00:00Z,6.035043,16.798556,4.098604
1999-08-10T00:00:00Z,0.23076923,1.6114058,1.2694116
1999-08-11T00:00:00Z,0.582906,6.0567345,2.4610433
1999-08-12T00:00:00Z,36.765812,6305.4337,79.40676
1999-08-13T00:00:00Z,3.6649573,20.246832,4.499648
1999-08-14T00:00:00Z,0,0,0
1999-08-15T00:00:00Z,10.400855,143.73269,11.988857
1999-08-16T00:00:00Z,1.3376068,10.978043,3.313313
1999-08-17T00:00:00Z,0.42307693,8.041114,2.835686
1999-08-18T00:00:00Z,0.5837607,10.1889186,3.1920084
1999-08-19T00:00:00Z,0,0,0
1999-08-20T00:00:00Z,0,0,0
1999-08-21T00:00:00Z,0.4059829,8.677424,2.9457468
1999-08-22T00:00:00Z,0.85726494,2.9192455,1.70858
1999-08-23T00:00:00Z,0.46495727,5.6433834,2.3755807
1999-08-24T00:00:00Z,0,0,0
1999-08-25T00:00:00Z,0,0,0
1999-08-26T00:00:00Z,0,0,0
1999-08-27T00:00:00Z,0,0,0
1999-08-28T00:00:00Z,0,0,0
1999-08-29T00:00:00Z,0,0,0
1999-08-30T00:00:00Z,0,0,0
1999-08-31T00:00:00Z,6.0615387,204.70424,14.307489
1999-09-01T00:00:00Z,0,0,0
1999-09-02T00:00:00Z,2.2675214,18.324639,4.2807287
1999-09-03T00:00:00Z,1.0743589,90.58886,9.517818
1999-09-04T00:00:00Z,9.107693,2833.1923,53.22774
1999-09-05T00:00:00Z,5.117094,235.05673,15.33156
1999-09-06T00:00:00Z,0,0,0
1999-09-07T00:00:00Z,5.379487,1665.837,40.814667
1999-09-08T00:00:00Z,11.375214,703.03288,26.514766
1999-09-09T00:00:00Z,3.7846153,12.838197,3.583043
1999-09-10T00:00:00Z,3.0923078,19.950928,4.4666463
1999-09-11T00:00:00Z,0.774359,14.278515,3.7786922
1999-09-12T00:00:00Z,7.282906,54.48777,7.381583
1999-09-13T00:00:00Z,1.7897435,5.0583553,2.2490788
1999-09-14T00:00:00Z,2.7239316,13.166372,3.6285496
1999-09-15T00:00:00Z,0,0,0
1999-09-16T00:00:00Z,0,0,0
1999-09-17T00:00:00Z,0,0,0
1999-09-18T00:00:00Z,2.3017094,303.31006,17.415799
1999-09-19T00:00:00Z,5.4068375,410.09874,20.250895
1999-09-20T00:00:00Z,0.87094015,22.72517,4.7670925
1999-09-21T00:00:00Z,0,0,0
1999-09-22T00:00:00Z,0,0,0
1999-09-23T00:00:00Z,0.005128205,0.15251989,0.39053794
1999-09-24T00:00:00Z,0,0,0
1999-09-25T00:00:00Z,1.0111111,7.0996165,2.6645106
