Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
80, eco2,51531,253.3995459,1.223593565,429.0800295,68.39118201,4728.845045,0.002969087,42.82680328,58.03407658,3.036812792,76.75540937,2284.44088,0,0,0, ,13057932,63053,22110923,3524266,243682114,153,2206908,2990554,156490,3955283,117719523,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,198.0145155,0.594030778,360.4057558,25.91028701,4687.145291,0.002775029,14.36191807,37.92392929,1.538588423,71.86491626,2545.096039,0,0,0, ,10203886,30611,18572069,1335183,241533284,143,740084,1954258,79285,3703271,131151344,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,148.57185,0.502823543,318.4458287,15.02654713,4684.400555,0.002425724,4.409850381,28.59185733,0.618831383,66.92913004,2828.798607,0,0,0, ,7656056,25911,16409832,774333,241391845,125,227244,1473367,31889,3448925,145770821,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,147.2951427,0.400613223,285.4362617,8.227649376,4538.665813,0.001921174,2.380605849,39.96780579,0.263782966,61.33975665,2997.548369,0,0,0, ,7590266,20644,14708816,423979,233881988,99,122675,2059581,13593,3160899,154466665,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,151.8730473,0.303933555,250.154082,1.847392831,4562.860628,0.001436029,1.769730842,42.32287361,0.06400031,57.88655372,3255.023559,0,0,0, ,7826170,15662,12890690,95198,235128771,74,91196,2180940,3298,2982952,167734619,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,126.9063282,0.217364305,201.9337874,0.87836448,4782.555491,0.000853855,1.244784693,35.29987774,0.090508626,57.22285614,3614.565097,0,0,0, ,6539610,11201,10405850,45263,246449867,44,64145,1819038,4664,2948751,186262154,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,820.4715723,11.4724722,79.21039273,679.991324,2430.415917,0.648414786,1788.41144,595.3880428,130.0505792,17.69237159,3615.064262,0.069246389,9.23E-05,0, ,35557597,497194,3432820,29469464,105329365,28101,77506175,25802927,5636132,766752,156669655,3001,4,0,,,,,,,,,,,,,,,
20, eco3,43338,688.2906918,6.308505238,64.98327103,452.6055425,2720.217638,0.648414786,1501.255665,385.3174581,65.2493193,17.66772809,3956.345655,0.01045272,9.23E-05,0, ,29829142,273398,2816245,19615019,117888792,28101,65061418,16698888,2827775,765684,171460108,453,4,0,,,,,,,,,,,,,,,
30, eco3,43338,616.5803221,3.10081222,47.04808713,320.0175827,2943.594421,0.656052425,1235.686488,208.7426277,19.21006968,17.76856339,4180.089783,0,0,0, ,26721358,134383,2038970,13868922,127569495,28432,53552181,9046488,832526,770054,181156731,0,0,0,,,,,,,,,,,,,,,
40, eco3,43338,555.724745,1.543333795,42.4927777,226.7460197,3172.610711,0.660321196,1044.75015,121.1462689,5.952512806,18.46748812,4255.840694,0,0,0, ,24083999,66885,1841552,9826719,137494603,28617,45277382,5250237,257970,800344,184439624,0,0,0,,,,,,,,,,,,,,,
50, eco3,43338,451.4778485,0.836586829,48.47357977,195.9559509,3390.892912,0.6570677,663.746112,61.26722507,3.885320042,20.13517006,4175.035535,0,0,0, ,19566147,36256,2100748,8492339,146954517,28476,28765429,2655199,168382,872618,180937690,0,0,0,,,,,,,,,,,,,,,
60, eco3,43338,365.1841109,0.402279754,48.7474272,152.0057455,3669.042019,0.590959435,278.8964188,48.21387697,2.105242512,22.05053302,3974.968088,0,0,0, ,15826349,17434,2112616,6587625,159008943,25611,12086813,2089493,91237,955626,172267167,0,0,0,,,,,,,,,,,,,,,
70, eco3,43338,294.2718861,0.09712031,47.38338179,104.9678112,3967.846809,0.57226914,134.769071,43.30363653,1.629724491,27.37258295,3691.69461,0,0,0, ,12753155,4209,2053501,4549095,171958545,24801,5840622,1876693,70629,1186273,159990661,0,0,0,,,,,,,,,,,,,,,
80, eco3,43338,218.3487471,0.023835895,44.02612026,71.82458812,4226.88202,0.562785546,87.92004707,41.66975864,0.959850478,30.77763164,3558.997208,0,0,0, ,9462798,1033,1908004,3112734,183184613,24390,3810279,1805884,41598,1333841,154239821,0,0,0,,,,,,,,,,,,,,,
90, eco3,43338,166.3039826,0.007983756,33.62587106,38.41720892,4289.015968,0.520374729,28.57418432,27.0553325,0.381489686,28.51834418,3396.483617,0,0,0, ,7207282,346,1457278,1664925,185877374,22552,1238348,1172524,16533,1235928,147196807,0,0,0,,,,,,,,,,,,,,,
100, eco3,43338,129.0921824,0.019682496,29.01396004,22.61285708,4398.874083,0.477317827,8.204416447,20.89194241,0.115995201,26.32191149,3347.905141,0,0,0, ,5594597,853,1257407,979996,190638405,20686,355563,905415,5027,1140739,145091513,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,114.2642485,0.013844663,28.60930361,11.50392265,4376.301214,0.425584937,4.82977987,30.66262864,0.051294476,24.68051133,3356.34644,0,0,0, ,4951984,600,1239870,498557,189660142,18444,209313,1328857,2223,1069604,145457342,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,106.6356546,0.011444921,24.92906918,2.636785269,4454.949444,0.380128294,3.486824496,32.84858554,0.015944437,24.32207301,3522.141054,0,0,0, ,4621376,496,1080376,114273,193068599,16474,151112,1423592,691,1054070,152642549,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,82.2260372,0.012829388,18.58978264,1.034080945,4712.876598,0.351515991,2.269094098,26.66611288,0.000646084,24.8336333,3801.450898,0,0,0, ,3563512,556,805644,44815,204246646,15234,98338,1155656,28,1076240,164747279,0,0,0,,,,,,,,,,,,,,,
