Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
40, eco3,43338,641.1856339,2.739858784,63.54028797,343.7556417,3029.1405,0.656375467,1125.400688,131.4351839,6.027158614,17.81265864,4041.761549,0.000230744,0.012206378,0.00020767, ,27787703,118740,2753709,14897682,131276891,28446,48772615,5696138,261205,771965,175161862,10,529,9,,,,,,,,,,,,,,,
50, eco3,43338,581.019221,2.106765425,74.52607412,307.551779,3233.402557,0.669204855,721.9346993,68.09084406,4.943652222,18.516429,3973.705432,0.008722138,0.014513822,0.00020767, ,25180211,91303,3229811,13328679,140129200,29002,31287206,2950921,214248,802465,172212446,378,629,9,,,,,,,,,,,,,,,
60, eco3,43338,522.8481702,1.699155476,80.63590844,236.4843555,3474.592528,0.668627994,331.3124048,50.57494578,3.779131478,19.61320319,3800.502261,0,4.61E-05,0.00020767, ,22659194,73638,3494599,10248759,150581891,28977,14358417,2191817,163780,849997,164706167,0,2,9,,,,,,,,,,,,,,,
70, eco3,43338,548.4032027,1.251465227,82.69511745,168.5249665,3828.090406,0.675896442,204.1792192,44.96820342,4.151737505,24.40477179,3602.302806,0,4.61E-05,0.000115372, ,23766698,54236,3583841,7303535,165901782,29292,8848719,1948832,179928,1057654,156116599,0,2,5,,,,,,,,,,,,,,,
80, eco3,43338,570.3122433,0.816027505,82.98627071,131.2615026,4068.134155,0.623909733,147.8442937,43.36907564,3.998154045,27.91425539,3508.225276,0,4.61E-05,0.000115372, ,24716192,35365,3596459,5688611,176304798,27039,6407276,1879529,173272,1209748,152039467,0,2,5,,,,,,,,,,,,,,,
90, eco3,43338,532.5140523,0.541718584,68.79616041,95.62896303,4064.163782,0.552817389,86.17435045,27.59864322,2.488462781,25.18951036,3262.631778,0,4.61E-05,0.000115372, ,23078094,23477,2981488,4144368,176132730,23958,3734624,1196070,107845,1091663,141395936,0,2,5,,,,,,,,,,,,,,,
100, eco3,43338,502.7378975,0.483686372,56.24945775,70.30518252,4163.279916,0.475448798,67.88525082,20.60625779,2.183534081,22.66375929,3187.080576,0,0,0, ,21787655,20962,2437739,3046886,180428225,20605,2942011,893034,94630,982202,138121698,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,385.2611334,0.420716231,57.24089713,37.23120587,4188.75518,0.366214408,63.24871937,29.22659098,1.914809174,20.89304998,3223.048456,0,0,0, ,16696447,18233,2480706,1613526,181532272,15871,2741073,1266622,82984,905463,139680474,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,328.8449859,0.330449029,56.02630486,17.30707462,4277.727214,0.286146107,59.75538788,31.22739859,1.333010291,19.77126309,3394.653953,0,0,0, ,14251484,14321,2428068,750054,185388142,12401,2589679,1353333,57770,856847,147117513,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,324.2792699,0.229059947,45.42482348,12.06230098,4541.020813,0.223937422,57.05521713,25.93389173,1.014536896,19.70863907,3656.871083,0,0,0, ,14053615,9927,1968621,522756,196798760,9705,2472659,1123923,43968,854133,158481479,0,0,0,,,,,,,,,,,,,,,
