Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
3, BEPA, eco1, 13835, 0.87, 1, 1, 0.77, 0.09, 16.4, 103, 271, 
3, CRDO2, eco1, 17152, 0.89, 1, 1, 0.52, 0.1, 17.56, 103, 271, 
3, FRNI, eco1, 17242, 0.98, 1, 1, 0.25, 0.05, 17.62, 103, 271, 
3, LALA, eco1, 10296, 1, 1, 1, 0.78, 0.11, 14.55, 103, 271, 
3, PIGL, eco1, 16023, 0.7, 1, 1, 0.73, 0.09, 17.18, 103, 271, 
3, PIMA, eco1, 10372, 0.69, 1, 1, 0.78, 0.12, 14.55, 103, 271, 
3, PIBA2, eco1, 10352, 1, 1, 1, 0.87, 0.08, 14.57, 103, 271, 
3, PIRE, eco1, 15912, 1, 1, 1, 0.85, 0.12, 17.07, 103, 271, 
3, PIST, eco1, 14097, 0.68, 1, 1, 0.85, 0.09, 16.39, 103, 271, 
3, POBA2, eco1, 14245, 1, 1, 1, 0.76, 0.09, 16.4, 103, 271, 
3, POGR4, eco1, 15989, 0.68, 1, 1, 0.78, 0.09, 17.23, 103, 271, 
3, POTR5, eco1, 14122, 1, 1, 1, 0.76, 0.09, 16.31, 103, 271, 
3, PRVI, eco1, 15976, 0.27, 1, 1, 0.79, 0.04, 17.23, 103, 271, 
3, QURU, eco1, 17022, 0.45, 1, 1, 0.65, 0.06, 17.66, 103, 271, 
3, SODE3, eco1, 17186, 0.95, 1, 1, 0.78, 0.11, 17.8, 103, 271, 
3, THOC2, eco1, 13939, 1, 1, 1, 0.81, 0.13, 16.34, 103, 271, 
3, Shrub, eco1, 17244, 0.87, 1, 1, 0.94, 0.17, 17.79, 103, 271, 
4, ABBA, eco1, 17278, 1, 1, 1, 0.46, 0.05, 15.85, 126, 260, 
4, ACRU, eco1, 15821, 0.15, 1, 1, 0.66, 0.02, 15.33, 126, 260, 
4, ACSA3, eco1, 17720, 0.46, 1, 1, 0.23, 0, 16.57, 126, 260, 
4, ACSP2, eco1, 17045, 0.15, 1, 1, 0.65, 0.02, 16.02, 126, 260, 
4, ALIN2, eco1, 9402, 0.97, 1, 1, 0.51, 0.1, 12.31, 126, 260, 
4, BEAL2, eco1, 17814, 0.78, 1, 1, 0.48, 0.06, 16.61, 126, 260, 
4, BEPA, eco1, 13394, 0.93, 1, 1, 0.76, 0.08, 14.22, 126, 260, 
4, CRDO2, eco1, 17223, 0.86, 1, 1, 0.41, 0.07, 15.93, 126, 260, 
4, FRNI, eco1, 17277, 0.94, 1, 1, 0.26, 0.05, 15.99, 126, 260, 
4, LALA, eco1, 9419, 1, 1, 1, 0.76, 0.11, 12.37, 126, 260, 
4, PIGL, eco1, 15585, 0.79, 1, 1, 0.69, 0.09, 15.32, 126, 260, 
4, PIMA, eco1, 9383, 0.78, 1, 1, 0.77, 0.13, 12.32, 126, 260, 
4, PIBA2, eco1, 9375, 0.99, 1, 1, 0.87, 0.07, 12.43, 126, 260, 
4, PIRE, eco1, 15660, 0.96, 1, 1, 0.83, 0.11, 15.36, 126, 260, 
4, PIST, eco1, 13496, 0.59, 1, 1, 0.83, 0.08, 14.35, 126, 260, 
4, POBA2, eco1, 13564, 1, 1, 1, 0.74, 0.08, 14.24, 126, 260, 
4, POGR4, eco1, 15644, 0.59, 1, 1, 0.76, 0.08, 15.44, 126, 260, 
4, POTR5, eco1, 13397, 0.98, 1, 1, 0.74, 0.08, 14.16, 126, 260, 
4, PRVI, eco1, 15632, 0.21, 1, 1, 0.76, 0.03, 15.52, 126, 260, 
4, QURU, eco1, 17260, 0.38, 1, 1, 0.57, 0.05, 15.94, 126, 260, 
4, SODE3, eco1, 17264, 0.92, 1, 1, 0.76, 0.1, 16.01, 126, 260, 
4, THOC2, eco1, 13494, 0.97, 1, 1, 0.79, 0.12, 14.31, 126, 260, 
4, Shrub, eco1, 17455, 0.84, 1, 1, 0.94, 0.17, 16.05, 126, 260, 
5, ABBA, eco1, 18034, 1, 1, 1, 0.32, 0.02, 24.32, 119, 270, 
5, ACRU, eco1, 16955, 0.15, 1, 1, 0.48, 0.01, 23.74, 119, 270, 
5, ACSA3, eco1, 18632, 0.46, 1, 1, 0.23, 0, 24.9, 119, 270, 
5, ACSP2, eco1, 18187, 0.15, 1, 1, 0.47, 0.02, 24.37, 119, 270, 
5, ALIN2, eco1, 9338, 0.97, 1, 1, 0.47, 0.09, 21.05, 119, 270, 
5, BEAL2, eco1, 18608, 0.78, 1, 1, 0.33, 0.03, 24.9, 119, 270, 
5, BEPA, eco1, 14132, 0.93, 1, 1, 0.6, 0.06, 22.66, 119, 270, 
5, CRDO2, eco1, 18215, 0.86, 1, 1, 0.3, 0.05, 24.26, 119, 270, 
5, FRNI, eco1, 18162, 0.94, 1, 1, 0.25, 0.05, 24.37, 119, 270, 
5, LALA, eco1, 9283, 1, 1, 1, 0.61, 0.08, 20.84, 119, 270, 
5, PIGL, eco1, 16667, 0.79, 1, 1, 0.52, 0.05, 23.81, 119, 270, 
5, PIMA, eco1, 9336, 0.78, 1, 1, 0.62, 0.1, 20.7, 119, 270, 
5, PIBA2, eco1, 9428, 0.99, 1, 1, 0.77, 0.06, 20.86, 119, 270, 
5, PIRE, eco1, 16854, 0.96, 1, 1, 0.75, 0.1, 23.65, 119, 270, 
5, PIST, eco1, 14415, 0.59, 1, 1, 0.74, 0.07, 22.46, 119, 270, 
5, POBA2, eco1, 14422, 1, 1, 1, 0.58, 0.06, 22.53, 119, 270, 
5, POGR4, eco1, 16975, 0.59, 1, 1, 0.62, 0.07, 23.67, 119, 270, 
5, POTR5, eco1, 14339, 0.98, 1, 1, 0.58, 0.06, 22.53, 119, 270, 
5, PRVI, eco1, 16604, 0.21, 1, 1, 0.63, 0.03, 23.54, 119, 270, 
5, QURU, eco1, 17899, 0.38, 1, 1, 0.4, 0.03, 24.29, 119, 270, 
5, SODE3, eco1, 18058, 0.92, 1, 1, 0.62, 0.08, 24.18, 119, 270, 
5, THOC2, eco1, 14501, 0.97, 1, 1, 0.66, 0.09, 22.68, 119, 270, 
5, Shrub, eco1, 18037, 0.84, 1, 1, 0.91, 0.17, 24.19, 119, 270, 
6, ABBA, eco1, 16594, 0.99, 1, 1, 0.6, 0.08, 14.02, 121, 275, 
6, ACRU, eco1, 15065, 0.08, 1, 1, 0.77, 0.01, 13.27, 121, 275, 
6, ACSA3, eco1, 17492, 0.29, 1, 1, 0.27, 0.01, 14.26, 121, 275, 
6, ACSP2, eco1, 16654, 0.08, 1, 1, 0.76, 0.01, 13.84, 121, 275, 
6, ALIN2, eco1, 8490, 0.94, 1, 1, 0.51, 0.1, 11.9, 121, 275, 
6, BEAL2, eco1, 17543, 0.62, 1, 1, 0.65, 0.08, 14.17, 121, 275, 
6, BEPA, eco1, 12534, 0.98, 1, 1, 0.83, 0.09, 12.64, 121, 275, 
6, CRDO2, eco1, 16875, 0.8, 1, 1, 0.55, 0.1, 13.82, 121, 275, 
6, FRNI, eco1, 16603, 0.83, 1, 1, 0.27, 0.05, 13.83, 121, 275, 
6, LALA, eco1, 8315, 0.99, 1, 1, 0.81, 0.12, 12.03, 121, 275, 
6, PIGL, eco1, 15074, 0.89, 1, 1, 0.79, 0.1, 13.32, 121, 275, 
6, PIMA, eco1, 8339, 0.88, 1, 1, 0.81, 0.14, 12.07, 121, 275, 
6, PIBA2, eco1, 8454, 0.95, 1, 1, 0.89, 0.08, 11.98, 121, 275, 
6, PIRE, eco1, 15047, 0.82, 1, 1, 0.88, 0.12, 13.26, 121, 275, 
6, PIST, eco1, 12560, 0.46, 1, 1, 0.88, 0.06, 12.65, 121, 275, 
6, POBA2, eco1, 12665, 0.98, 1, 1, 0.81, 0.1, 12.69, 121, 275, 
6, POGR4, eco1, 15119, 0.46, 1, 1, 0.83, 0.07, 13.38, 121, 275, 
6, POTR5, eco1, 12231, 0.93, 1, 1, 0.82, 0.1, 12.53, 121, 275, 
6, PRVI, eco1, 14960, 0.14, 1, 1, 0.83, 0.02, 13.41, 121, 275, 
6, QURU, eco1, 16798, 0.29, 1, 1, 0.72, 0.04, 13.79, 121, 275, 
6, SODE3, eco1, 16765, 0.86, 1, 1, 0.83, 0.12, 13.81, 121, 275, 
6, THOC2, eco1, 12596, 0.88, 1, 1, 0.85, 0.13, 12.61, 121, 275, 
6, Shrub, eco1, 16758, 0.79, 1, 1, 0.95, 0.16, 13.85, 121, 275, 
7, ABBA, eco1, 17383, 0.98, 1, 1, 0.63, 0.08, 16.27, 104, 281, 
7, ACRU, eco1, 15619, 0.23, 1, 1, 0.75, 0.03, 16.01, 104, 281, 
7, ACSA3, eco1, 18139, 0.63, 1, 1, 0.26, 0.01, 16.82, 104, 281, 
7, ACSP2, eco1, 17261, 0.23, 1, 1, 0.74, 0.03, 16.39, 104, 281, 
7, ALIN2, eco1, 8266, 1, 1, 1, 0.49, 0.1, 14.32, 104, 281, 
7, BEAL2, eco1, 18336, 0.91, 1, 1, 0.65, 0.09, 16.81, 104, 281, 
7, BEPA, eco1, 12888, 0.82, 1, 1, 0.8, 0.09, 15.2, 104, 281, 
7, CRDO2, eco1, 17305, 0.91, 1, 1, 0.59, 0.11, 16.42, 104, 281, 
7, FRNI, eco1, 17559, 1, 1, 1, 0.27, 0.05, 16.5, 104, 281, 
7, LALA, eco1, 8233, 0.99, 1, 1, 0.8, 0.12, 14.23, 104, 281, 
7, PIGL, eco1, 15705, 0.64, 1, 1, 0.77, 0.08, 16.13, 104, 281, 
7, PIMA, eco1, 8256, 0.63, 1, 1, 0.81, 0.11, 14.3, 104, 281, 
7, PIBA2, eco1, 8262, 0.99, 1, 1, 0.89, 0.08, 14.13, 104, 281, 
7, PIRE, eco1, 15630, 1, 1, 1, 0.87, 0.12, 15.88, 104, 281, 
7, PIST, eco1, 12873, 0.72, 1, 1, 0.86, 0.09, 15.31, 104, 281, 
7, POBA2, eco1, 12793, 1, 1, 1, 0.79, 0.09, 15.26, 104, 281, 
7, POGR4, eco1, 15462, 0.72, 1, 1, 0.81, 0.1, 15.96, 104, 281, 
7, POTR5, eco1, 12886, 1, 1, 1, 0.8, 0.09, 15.11, 104, 281, 
7, PRVI, eco1, 15416, 0.3, 1, 1, 0.81, 0.04, 15.92, 104, 281, 
7, QURU, eco1, 17433, 0.48, 1, 1, 0.7, 0.06, 16.38, 104, 281, 
7, SODE3, eco1, 17470, 0.97, 1, 1, 0.81, 0.11, 16.64, 104, 281, 
7, THOC2, eco1, 12807, 1, 1, 1, 0.83, 0.13, 15.44, 104, 281, 
7, Shrub, eco1, 17280, 0.88, 1, 1, 0.95, 0.18, 16.34, 104, 281, 
8, ABBA, eco1, 17830, 0.99, 1, 1, 0.38, 0.03, 24.25, 100, 262, 
8, ACRU, eco1, 16158, 0.21, 1, 1, 0.53, 0.02, 23.51, 100, 262, 
8, ACSA3, eco1, 18595, 0.6, 1, 1, 0.24, 0, 25.09, 100, 262, 
8, ACSP2, eco1, 17878, 0.21, 1, 1, 0.51, 0.02, 24.44, 100, 262, 
8, ALIN2, eco1, 8023, 0.99, 1, 1, 0.47, 0.09, 21.01, 100, 262, 
8, BEAL2, eco1, 18802, 0.89, 1, 1, 0.39, 0.04, 25.08, 100, 262, 
8, BEPA, eco1, 13343, 0.85, 1, 1, 0.63, 0.06, 22.68, 100, 262, 
8, CRDO2, eco1, 17905, 0.9, 1, 1, 0.35, 0.06, 24.41, 100, 262, 
8, FRNI, eco1, 18098, 0.99, 1, 1, 0.26, 0.05, 24.39, 100, 262, 
8, LALA, eco1, 8183, 0.99, 1, 1, 0.64, 0.09, 20.52, 100, 262, 
8, PIGL, eco1, 16176, 0.67, 1, 1, 0.56, 0.06, 23.71, 100, 262, 
8, PIMA, eco1, 8094, 0.66, 1, 1, 0.63, 0.09, 20.9, 100, 262, 
8, PIBA2, eco1, 8074, 1, 1, 1, 0.8, 0.06, 20.67, 100, 262, 
8, PIRE, eco1, 15991, 1, 1, 1, 0.77, 0.1, 23.56, 100, 262, 
8, PIST, eco1, 13306, 0.7, 1, 1, 0.76, 0.08, 22.67, 100, 262, 
8, POBA2, eco1, 13145, 1, 1, 1, 0.61, 0.06, 22.55, 100, 262, 
8, POGR4, eco1, 16111, 0.7, 1, 1, 0.65, 0.07, 23.43, 100, 262, 
8, POTR5, eco1, 13208, 1, 1, 1, 0.61, 0.06, 22.66, 100, 262, 
8, PRVI, eco1, 16179, 0.28, 1, 1, 0.65, 0.04, 23.6, 100, 262, 
8, QURU, eco1, 17692, 0.46, 1, 1, 0.45, 0.04, 24.34, 100, 262, 
8, SODE3, eco1, 17872, 0.96, 1, 1, 0.64, 0.08, 24.46, 100, 262, 
8, THOC2, eco1, 13261, 1, 1, 1, 0.68, 0.1, 22.89, 100, 262, 
8, Shrub, eco1, 17791, 0.88, 1, 1, 0.92, 0.17, 24.4, 100, 262, 
9, ABBA, eco1, 16009, 0.98, 1, 1, 0.41, 0.04, 24.09, 115, 291, 
9, ACRU, eco1, 14002, 0.23, 1, 1, 0.53, 0.02, 22.94, 115, 291, 
9, ACSA3, eco1, 17067, 0.63, 1, 1, 0.29, 0.01, 24.94, 115, 291, 
9, ACSP2, eco1, 15835, 0.23, 1, 1, 0.51, 0.02, 24.09, 115, 291, 
9, ALIN2, eco1, 7279, 1, 1, 1, 0.51, 0.1, 18.43, 115, 291, 
9, BEAL2, eco1, 17082, 0.91, 1, 1, 0.4, 0.04, 25.13, 115, 291, 
9, BEPA, eco1, 11316, 0.82, 1, 1, 0.69, 0.06, 21.25, 115, 291, 
9, CRDO2, eco1, 15708, 0.91, 1, 1, 0.4, 0.08, 23.82, 115, 291, 
9, FRNI, eco1, 15900, 1, 1, 1, 0.28, 0.06, 24.21, 115, 291, 
9, LALA, eco1, 7248, 0.99, 1, 1, 0.69, 0.1, 18.4, 115, 291, 
9, PIGL, eco1, 14213, 0.63, 1, 1, 0.59, 0.05, 22.75, 115, 291, 
9, PIMA, eco1, 7194, 0.62, 1, 1, 0.69, 0.09, 18.45, 115, 291, 
9, PIBA2, eco1, 7294, 0.99, 1, 1, 0.85, 0.07, 18.39, 115, 291, 
9, PIRE, eco1, 14022, 1, 1, 1, 0.8, 0.1, 22.9, 115, 291, 
9, PIST, eco1, 11445, 0.72, 1, 1, 0.8, 0.08, 21.41, 115, 291, 
9, POBA2, eco1, 11203, 1, 1, 1, 0.67, 0.06, 20.86, 115, 291, 
9, POGR4, eco1, 13890, 0.72, 1, 1, 0.7, 0.08, 22.87, 115, 291, 
9, POTR5, eco1, 11406, 1, 1, 1, 0.67, 0.06, 21.08, 115, 291, 
9, PRVI, eco1, 13887, 0.3, 1, 1, 0.71, 0.04, 22.82, 115, 291, 
9, QURU, eco1, 15816, 0.48, 1, 1, 0.45, 0.03, 24.13, 115, 291, 
9, SODE3, eco1, 15889, 0.97, 1, 1, 0.7, 0.09, 24.01, 115, 291, 
9, THOC2, eco1, 11247, 1, 1, 1, 0.75, 0.11, 21.22, 115, 291, 
9, Shrub, eco1, 15784, 0.89, 1, 1, 0.92, 0.17, 24.29, 115, 291, 
10, ABBA, eco1, 15865, 0.99, 1, 1, 0.73, 0.1, 11.01, 118, 276, 
10, ACRU, eco1, 14112, 0.08, 1, 1, 0.83, 0.01, 10.7, 118, 276, 
10, ACSA3, eco1, 17321, 0.3, 1, 1, 0.32, 0.01, 11.67, 118, 276, 
10, ACSP2, eco1, 16012, 0.08, 1, 1, 0.82, 0.01, 11.16, 118, 276, 
10, ALIN2, eco1, 7081, 0.94, 1, 1, 0.51, 0.1, 10.15, 118, 276, 
10, BEAL2, eco1, 17349, 0.63, 1, 1, 0.74, 0.09, 11.54, 118, 276, 
10, BEPA, eco1, 11545, 0.98, 1, 1, 0.87, 0.1, 10.31, 118, 276, 
10, CRDO2, eco1, 15917, 0.8, 1, 1, 0.69, 0.13, 11.01, 118, 276, 
10, FRNI, eco1, 16152, 0.83, 1, 1, 0.29, 0.05, 11.23, 118, 276, 
10, LALA, eco1, 7034, 0.99, 1, 1, 0.85, 0.13, 10.31, 118, 276, 
10, PIGL, eco1, 14134, 0.88, 1, 1, 0.84, 0.11, 10.73, 118, 276, 
10, PIMA, eco1, 7082, 0.88, 1, 1, 0.85, 0.15, 10.36, 118, 276, 
10, PIBA2, eco1, 7100, 0.95, 1, 1, 0.91, 0.08, 10.33, 118, 276, 
10, PIRE, eco1, 14082, 0.83, 1, 1, 0.9, 0.11, 10.69, 118, 276, 
10, PIST, eco1, 11382, 0.46, 1, 1, 0.9, 0.06, 10.13, 118, 276, 
10, POBA2, eco1, 11336, 0.98, 1, 1, 0.86, 0.1, 10.28, 118, 276, 
10, POGR4, eco1, 14130, 0.46, 1, 1, 0.87, 0.07, 10.72, 118, 276, 
10, POTR5, eco1, 11256, 0.93, 1, 1, 0.86, 0.1, 10.16, 118, 276, 
10, PRVI, eco1, 14237, 0.14, 1, 1, 0.88, 0.02, 10.55, 118, 276, 
10, QURU, eco1, 16179, 0.29, 1, 1, 0.79, 0.04, 11.11, 118, 276, 
10, SODE3, eco1, 16029, 0.87, 1, 1, 0.87, 0.12, 11.25, 118, 276, 
10, THOC2, eco1, 11346, 0.88, 1, 1, 0.88, 0.13, 10.26, 118, 276, 
10, Shrub, eco1, 16235, 0.79, 1, 1, 0.96, 0.16, 11.11, 118, 276, 
11, ABBA, eco1, 18945, 0.91, 1, 1, 0.57, 0.07, 15.01, 121, 264, 
11, ACRU, eco1, 17095, 0, 1, 1, 0.71, 0, 14.8, 121, 264, 
11, ACSA3, eco1, 19656, 0, 1, 1, 0.25, 0, 15.18, 121, 264, 
11, ACSP2, eco1, 18922, 0, 1, 1, 0.7, 0, 15.15, 121, 264, 
11, ALIN2, eco1, 7793, 0.86, 1, 1, 0.44, 0.08, 13.67, 121, 264, 
11, BEAL2, eco1, 19836, 0.25, 1, 1, 0.6, 0.03, 15.35, 121, 264, 
11, BEPA, eco1, 14067, 0.99, 1, 1, 0.77, 0.09, 14.37, 121, 264, 
11, CRDO2, eco1, 18781, 0.68, 1, 1, 0.52, 0.09, 15.06, 121, 264, 
11, FRNI, eco1, 19015, 0.52, 1, 1, 0.26, 0.03, 15.08, 121, 264, 
11, LALA, eco1, 7744, 0.95, 1, 1, 0.77, 0.11, 13.66, 121, 264, 
11, PIGL, eco1, 17377, 0.99, 1, 1, 0.73, 0.1, 14.78, 121, 264, 
11, PIMA, eco1, 7840, 0.98, 1, 1, 0.77, 0.15, 13.93, 121, 264, 
11, PIBA2, eco1, 7863, 0.77, 1, 1, 0.85, 0.08, 13.83, 121, 264, 
11, PIRE, eco1, 17236, 0.36, 1, 1, 0.84, 0.05, 14.71, 121, 264, 
11, PIST, eco1, 14305, 0.17, 1, 1, 0.83, 0.02, 14.54, 121, 264, 
11, POBA2, eco1, 14168, 0.88, 1, 1, 0.76, 0.09, 14.39, 121, 264, 
11, POGR4, eco1, 17171, 0.17, 1, 1, 0.78, 0.02, 14.8, 121, 264, 
11, POTR5, eco1, 14249, 0.77, 1, 1, 0.76, 0.09, 14.53, 121, 264, 
11, PRVI, eco1, 17267, 0, 1, 1, 0.79, 0, 14.84, 121, 264, 
11, QURU, eco1, 18640, 0.1, 1, 1, 0.65, 0.01, 14.98, 121, 264, 
11, SODE3, eco1, 18862, 0.73, 1, 1, 0.79, 0.1, 14.86, 121, 264, 
11, THOC2, eco1, 14252, 0.56, 1, 1, 0.8, 0.09, 14.51, 121, 264, 
11, Shrub, eco1, 18895, 0.69, 1, 1, 0.94, 0.14, 15.09, 121, 264, 
12, ABBA, eco1, 18572, 0.97, 1, 1, 0.48, 0.05, 17.77, 100, 254, 
12, ACRU, eco1, 16560, 0.25, 1, 1, 0.67, 0.03, 17.45, 100, 254, 
12, ACSA3, eco1, 19980, 0.67, 1, 1, 0.24, 0.01, 18.18, 100, 254, 
12, ACSP2, eco1, 18664, 0.25, 1, 1, 0.66, 0.04, 17.63, 100, 254, 
12, ALIN2, eco1, 7101, 1, 1, 1, 0.47, 0.09, 18.22, 100, 254, 
12, BEAL2, eco1, 20009, 0.93, 1, 1, 0.52, 0.06, 18.16, 100, 254, 
12, BEPA, eco1, 13206, 0.78, 1, 1, 0.73, 0.08, 17.37, 100, 254, 
12, CRDO2, eco1, 18616, 0.92, 1, 1, 0.43, 0.08, 17.84, 100, 254, 
12, FRNI, eco1, 18692, 1, 1, 1, 0.26, 0.05, 17.75, 100, 254, 
12, LALA, eco1, 7173, 0.98, 1, 1, 0.68, 0.09, 18.31, 100, 254, 
12, PIGL, eco1, 16729, 0.58, 1, 1, 0.69, 0.08, 17.57, 100, 254, 
12, PIMA, eco1, 7152, 0.58, 1, 1, 0.69, 0.09, 18.14, 100, 254, 
12, PIBA2, eco1, 6987, 0.98, 1, 1, 0.81, 0.07, 18.37, 100, 254, 
12, PIRE, eco1, 16603, 0.99, 1, 1, 0.83, 0.11, 17.46, 100, 254, 
12, PIST, eco1, 13159, 0.75, 1, 1, 0.82, 0.1, 17, 100, 254, 
12, POBA2, eco1, 13378, 0.99, 1, 1, 0.72, 0.08, 17.09, 100, 254, 
12, POGR4, eco1, 16762, 0.75, 1, 1, 0.75, 0.1, 17.48, 100, 254, 
12, POTR5, eco1, 13322, 1, 1, 1, 0.72, 0.08, 17.33, 100, 254, 
12, PRVI, eco1, 16459, 0.32, 1, 1, 0.76, 0.05, 17.43, 100, 254, 
12, QURU, eco1, 18804, 0.51, 1, 1, 0.6, 0.06, 17.77, 100, 254, 
12, SODE3, eco1, 18725, 0.97, 1, 1, 0.76, 0.11, 17.85, 100, 254, 
12, THOC2, eco1, 13414, 0.99, 1, 1, 0.77, 0.12, 17.05, 100, 254, 
12, Shrub, eco1, 18596, 0.9, 1, 1, 0.94, 0.18, 17.71, 100, 254, 
13, ABBA, eco1, 15419, 0.96, 1, 1, 0.7, 0.09, 13.94, 104, 291, 
13, ACRU, eco1, 13479, 0.27, 1, 1, 0.81, 0.04, 13.28, 104, 291, 
13, ACSA3, eco1, 17117, 0.7, 1, 1, 0.32, 0.02, 14.7, 104, 291, 
13, ACSP2, eco1, 15347, 0.27, 1, 1, 0.81, 0.04, 13.83, 104, 291, 
13, ALIN2, eco1, 6137, 1, 1, 1, 0.51, 0.1, 12.36, 104, 291, 
13, BEAL2, eco1, 16872, 0.95, 1, 1, 0.72, 0.1, 14.76, 104, 291, 
13, BEPA, eco1, 10597, 0.75, 1, 1, 0.86, 0.09, 12.58, 104, 291, 
