Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
56, eco3, 43338, 8914.00, 300.2, 381.5, 0.0
56, eco1, 93059, 6646.57, 214.2, 371.9, 0.0
57, eco2, 51531, 7668.84, 234.2, 330.6, 0.0
57, eco3, 43338, 8868.85, 294.5, 374.9, 0.0
57, eco1, 93059, 6605.21, 211.9, 368.5, 0.0
58, eco2, 51531, 7649.32, 231.3, 326.7, 0.0
58, eco3, 43338, 8822.31, 288.8, 368.1, 0.0
58, eco1, 93059, 6566.08, 209.7, 365.1, 0.0
59, eco2, 51531, 7631.17, 228.4, 322.9, 0.0
59, eco3, 43338, 8772.64, 282.9, 361.2, 0.0
59, eco1, 93059, 6529.06, 207.5, 361.8, 0.0
60, eco2, 51531, 7512.24, 224.8, 319.6, 0.0
60, eco3, 43338, 8616.28, 273.9, 354.5, 0.0
60, eco1, 93059, 6368.21, 198.6, 358.9, 0.0
61, eco2, 51531, 7424.41, 221.9, 315.7, 0.0
61, eco3, 43338, 8510.52, 268.5, 346.6, 0.0
61, eco1, 93059, 6278.72, 197.0, 354.2, 0.0
62, eco2, 51531, 7339.40, 219.1, 311.8, 0.0
62, eco3, 43338, 8406.24, 263.7, 339.2, 0.0
62, eco1, 93059, 6193.44, 195.3, 350.1, 0.0
63, eco2, 51531, 7258.81, 216.3, 308.0, 0.0
63, eco3, 43338, 8305.75, 259.3, 332.3, 0.0
63, eco1, 93059, 6114.34, 193.7, 346.3, 0.0
64, eco2, 51531, 7182.90, 213.7, 304.4, 0.0
64, eco3, 43338, 8207.52, 255.7, 326.0, 0.0
64, eco1, 93059, 6039.24, 192.1, 342.8, 0.0
65, eco2, 51531, 7110.23, 211.0, 300.7, 0.0
65, eco3, 43338, 8111.92, 252.3, 320.2, 0.0
65, eco1, 93059, 5968.08, 190.4, 339.6, 0.0
66, eco2, 51531, 7041.57, 208.4, 297.1, 0.0
66, eco3, 43338, 8021.44, 249.1, 314.9, 0.0
66, eco1, 93059, 5900.93, 188.7, 336.4, 0.0
67, eco2, 51531, 6973.89, 205.7, 293.5, 0.0
67, eco3, 43338, 7933.45, 246.0, 310.0, 0.0
67, eco1, 93059, 5836.43, 186.9, 333.4, 0.0
68, eco2, 51531, 6908.34, 203.1, 289.9, 0.0
68, eco3, 43338, 7849.09, 242.8, 305.4, 0.0
68, eco1, 93059, 5774.11, 185.2, 330.4, 0.0
69, eco2, 51531, 6846.73, 200.6, 286.3, 0.0
69, eco3, 43338, 7767.92, 239.8, 301.0, 0.0
69, eco1, 93059, 5715.47, 183.4, 327.4, 0.0
70, eco2, 51531, 6575.18, 192.0, 289.5, 0.0
70, eco3, 43338, 7514.21, 231.9, 299.9, 0.0
70, eco1, 93059, 5615.59, 180.8, 325.4, 0.0
71, eco2, 51531, 6521.23, 190.5, 283.0, 0.0
71, eco3, 43338, 7443.30, 229.0, 293.7, 0.0
71, eco1, 93059, 5563.58, 179.0, 322.0, 0.0
72, eco2, 51531, 6465.82, 187.8, 277.1, 0.0
72, eco3, 43338, 7374.20, 225.6, 288.0, 0.0
72, eco1, 93059, 5512.97, 177.0, 318.7, 0.0
73, eco2, 51531, 6411.29, 185.5, 271.6, 0.0
73, eco3, 43338, 7306.60, 222.0, 282.6, 0.0
73, eco1, 93059, 5463.82, 175.0, 315.3, 0.0
74, eco2, 51531, 6357.65, 182.9, 266.6, 0.0
74, eco3, 43338, 7239.57, 218.3, 277.5, 0.0
